Spa.1	Spa.2	Spa.3	Spa.4	Rho 	Dev.	 M  	Sp  	Vp  	In  
1	3	5	7	12119.96	0	9.16	56.87	-987.22	3.071
1	3	7	9	14879.92	0	27.02	-75.54	-303.007	3.071
1	3	9	11	9375.71	0	16.93	19.12	-76.369	3.071
1	3	11	13	24792.39	0	49.32	30.75	-100.972	3.071
1	3	13	15	11403.67	0	1.32	23.64	-26.539	3.071
1	3	15	6	15065.19	0	17.92	-19	894.045	3.071
1	3	6	8	16311.82	0	14.2	-56.88	-607.389	3.071
1	3	8	10	10251.95	0	9.86	4.96	-127.248	3.071
1	3	10	12	19113.39	0	50.92	54.75	-107.835	3.071
1	3	12	14	13592.75	0	-34.5	-10.92	-41.294	3.071
1	4	8	11	9110.56	0	10.33	22.69	-428.603	4.598
1	4	11	14	21546.66	0	14.32	25.71	-311.894	4.598
1	4	14	17	14616.6	0	8.35	-35.09	-92.566	4.598
1	4	17	9	13761.29	0	12.15	-8.14	610.045	4.598
1	4	9	12	13623.8	0	15.38	55.86	-407.863	4.598
1	4	12	15	13547.72	0	8.97	17.31	-144.852	4.598
1	4	15	18	13424.39	0	1.9	-39.43	-67.545	4.598
1	4	18	10	15901.96	0	14.26	-31.83	499.821	4.598
1	4	10	13	17453.26	0	16.19	48.67	-354.789	4.598
1	4	13	16	12126.91	0	362.27	-25.76	-98.606	4.598
1	4	16	19	13832.99	0	-299.99	-1.03	-56.011	4.579
1	5	12	16	17128.6	0	511.85	-27.22	-220.375	2.918
1	5	16	20	19044.31	0	-299.99	-70.26	-90.272	2.918
1	5	20	24	15730.87	0	-4.8	93.05	-35.662	2.918
1	5	24	13	16721.68	0	-9.85	0.17	252.473	2.918
1	5	13	17	18843.95	0	3.54	-41.96	-182.307	2.918
1	5	17	21	11583.31	0	-74.88	27.17	-44.825	2.918
1	5	21	14	16904.4	0	-6.36	9.08	170.252	2.918
1	5	14	18	18546.71	0	13.46	-10.74	-138.565	2.918
1	5	18	22	13537.42	0	37.91	31.69	-43.346	2.918
1	5	15	19	17517.71	0	-45.76	-51.51	-102.28	2.889
1	5	19	23	14549.66	0	-0.23	-10.29	-38.614	2.889
2	4	6	8	12585.64	0	9.21	-66.47	-1566.15	4.691
2	4	8	10	8676.54	0	-1.27	5.93	-269.926	4.691
2	4	10	12	17888.19	0	21.11	53.09	-222.6	4.691
2	4	12	14	13694.79	0	-0.07	-11.64	-85.209	4.691
2	4	14	16	7061.43	0	134.41	-18.11	-25.106	4.691
2	4	16	7	12120.85	0	10.01	48.9	1098.913	4.691
2	4	7	9	11796.04	0	6.68	-70.55	-671.037	4.691
2	4	9	11	8505.73	0	7.46	15.67	-161.287	4.691
2	4	11	13	24211	0	7.3	32.83	-208.679	4.691
2	4	13	15	12756.41	0	9.17	20.83	-59.204	4.691
