Spa.1	Spa.2	Spa.3	Spa.4	Rho 	Dev.	 M  	Sp  	Vp  	In  
1	3	5	7	10489.14	0	-6.98	75.89	-733.668	2.637
1	3	7	9	12665.82	0	24.9	-163.29	-221.479	2.637
1	3	9	11	8828.13	0	3.48	-81.13	-61.749	2.637
1	3	11	13	10875.01	0	7.42	494.28	-38.033	2.637
1	3	13	15	22128.54	0	18.37	-324.98	-44.223	2.637
1	3	15	6	12582.34	0	-11.65	-112.35	641.2	2.637
1	3	6	8	13644.28	0	-19.12	-6.88	-436.277	2.637
1	3	8	10	8443.97	0	-6.11	-15.21	-89.999	2.637
1	3	10	12	14842.77	0	18.98	-24.84	-71.909	2.637
1	3	12	14	11336.42	0	-10.82	189.9	-29.573	2.637
1	4	8	11	9395.01	0	-6.51	-46.04	-109.844	1.143
1	4	11	14	17658.43	0	-4.23	197.86	-63.525	1.143
1	4	14	17	15390.98	0	6.03	-113.84	-24.224	1.143
1	4	17	9	13095.74	0	4.24	10.75	144.278	1.143
1	4	9	12	12245.73	0	40.82	-84.66	-91.111	1.143
1	4	12	15	14690.59	0	-67.11	162.54	-39.036	1.143
1	4	15	18	11917.07	0	95.07	-128.13	-14.902	1.143
1	4	18	10	14995.02	0	23.84	-8.6	117.133	1.143
1	4	10	13	16343.35	0	61.45	454.26	-82.566	1.143
1	4	13	16	12663.34	0	-124.77	-297.88	-25.59	1.143
1	4	16	19	6504.66	0	999.99	-158.89	-6.418	1.116
1	5	12	16	19509	0	39.14	188.29	-187.141	2.175
1	5	16	20	17123.28	0	-120.93	-145.34	-60.515	2.175
1	5	20	24	15434.05	0	7.71	285.27	-26.087	2.175
1	5	24	13	16841.84	0	-7.94	120.81	189.591	2.175
1	5	13	17	19151.37	0	-4.57	-372.41	-138.142	2.175
1	5	17	21	11552.66	0	-32.56	83.29	-33.333	2.175
1	5	21	14	18242.07	0	2.87	32.21	136.981	2.175
1	5	14	18	19927.2	0	6.32	-156.1	-111.001	2.175
1	5	18	22	14544.74	0	-10.08	122.9	-34.723	2.175
1	5	15	19	16309.8	0	56.49	-148.95	-71.31	2.163
1	5	19	23	16530.45	0	-121.8	168.93	-32.852	2.163
2	4	6	8	11913.69	0	-95.92	-24.04	-328.816	1.04
2	4	8	10	8155.54	0	-41.98	-4.44	-56.273	1.04
2	4	10	12	15341.13	0	79.39	-22.39	-42.341	1.04
2	4	12	14	14122.82	0	-154.58	192.66	-19.489	1.04
2	4	14	16	12502.56	0	61.21	-2.75	-9.859	1.04
2	4	16	7	11614.88	0	-15.46	44.74	233.557	1.04
2	4	7	9	11308.83	0	-30.57	-145.84	-142.684	1.04
2	4	9	11	9197.43	0	6.32	-98.82	-38.681	1.04
2	4	11	13	18613	0	81.98	428.67	-35.582	1.04
2	4	13	15	12917.19	0	-187.49	-241.31	-13.296	1.04
2	5	9	12	16733.12	0	11.87	-87.64	-325.607	1.902
2	5	12	15	21444.99	0	-11.02	177.1	-128.398	1.902
2	5	15	18	18582.74	0	7.43	-145.43	-48.677	1.902
2	5	18	10	21889.27	0	5.65	-9.54	401.366	1.902
2	5	10	13	23475.94	0	13.06	384.53	-290.7	1.902
2	5	13	16	18431.23	0	-19.55	-215.33	-81.511	1.902
2	5	16	19	17487.69	0	24.58	-169.08	-36.395	1.902
2	5	19	11	23524.78	0	7.18	-32.06	305.841	1.902
2	5	11	14	25452.47	0	4.53	204.21	-214.008	1.902
2	5	14	17	23720.75	0	6.35	-121.33	-79.779	1.902
2	5	17	20	10776.21	0	19.89	-29.57	-17.992	1.888
2	6	13	17	18626.18	0	1.36	-323.97	-103.713	1.263
2	6	17	21	12325.19	0	-105.83	84.85	-25.284	1.263
2	6	21	14	18516.89	0	-3.89	37.35	102.829	1.263
2	6	14	18	20104.49	0	9.67	-162.76	-84.177	1.263
2	6	18	22	15059.18	0	-36.17	124.18	-25.221	1.263
2	6	22	15	16885.83	0	-11.96	32.39	73.601	1.263
2	6	15	19	17220.7	0	13.13	-165.04	-55.681	1.263
2	6	19	23	16004.07	0	-66.15	173.44	-22.177	1.263
2	6	23	16	16851.32	0	-16.41	-2.09	58.816	1.263
2	6	16	20	16225.45	0	-14.39	-152.82	-41.408	1.263
2	6	20	24	15287.98	0	29.25	302.63	-17.648	1.257
3	5	7	9	16973.78	0	7.19	-153.68	-754.64	1.676
3	5	9	11	14551.58	0	6.49	-88.55	-161.738	1.676
3	5	11	13	36798.45	0	22.85	407.96	-163.603	1.676
3	5	13	15	15110.71	0	-66.81	-208.13	-33.59	1.676
