Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In
1	3	5	7	1376.84	0	7.52	2.35	-1064.488	29.147
1	3	7	9	934.66	0	63.59	56.88	-180.655	29.147
1	3	9	11	2220.86	0	-44.06	-78.3	-171.703	29.147
1	3	11	13	1405.22	0	-56.35	-1.43	-54.322	29.147
1	3	13	15	1459.94	0	65.45	-0.49	-32.249	29.147
1	3	15	6	1274.98	0	6.95	27.46	718.179	29.147
1	3	6	8	1106.68	0	4.66	0	-391.141	29.147
1	3	8	10	1645.09	0	6.19	0.4	-193.811	29.147
1	3	10	12	1414.55	0	-4.14	-27.98	-75.75	29.147
1	3	12	14	1572.86	0	5.66	21.97	-45.353	29.147
1	4	8	11	1772.14	0	174.6	-20.13	-212.686	11.73
1	4	11	14	1866.34	0	-299.99	14.9	-68.921	11.73
1	4	14	17	1306.54	0	-102.17	-2.41	-21.108	11.73
1	4	17	9	1613.85	0	-15.88	8.06	182.515	11.73
1	4	9	12	1632.77	0	1.21	-26.23	-124.702	11.73
1	4	12	15	1704.38	0	-13.33	1.89	-46.489	11.73
1	4	15	18	1182.65	0	-172.06	20.14	-15.18	11.73
1	4	18	10	1575.38	0	-57.79	6.94	126.322	11.73
1	4	10	13	1631.34	0	-41.61	-25.2	-84.6	11.73
1	4	13	16	1567.62	0	-31.58	11.2	-32.518	11.73
1	4	16	19	802.03	0	-21.97	3.55	-8.305	11.711
1	5	12	16	2311.74	0	2.32	14.52	-153.207	15.03
1	5	16	20	1444.8	0	-79.8	8.25	-35.277	15.03
1	5	20	24	922.21	0	105.3	22.51	-10.769	15.03
1	5	24	13	1752.22	0	-14.99	-40.93	136.277	15.03
1	5	13	17	2064.39	0	-26.58	17.38	-102.878	15.03
1	5	17	21	1322.82	0	-7.07	13.33	-26.369	15.03
1	5	21	14	1593.36	0	-22.1	-9.82	82.662	15.03
1	5	14	18	1735.03	0	-25.89	-0.37	-66.772	15.03
1	5	18	22	1099.14	0	-7.78	0.23	-18.129	15.03
1	5	15	19	1461.4	0	-13.55	14.58	-44.358	15.019
1	5	19	23	1244.16	0	-129.43	1.55	-17.166	15.019
2	4	6	8	1282.2	0	2.51	-2.26	-416.122	12.235
2	4	8	10	1828.2	0	57.36	-2.03	-148.33	12.235
2	4	10	12	1579.71	0	-96.61	-26.98	-51.268	12.235
2	4	12	14	1748.89	0	-44.43	22.67	-28.379	12.235
2	4	14	16	1309.64	0	21.05	-8.19	-12.144	12.235
2	4	16	7	1440.31	0	-16.24	14.39	340.559	12.235
2	4	7	9	1345.24	0	-20.98	0.74	-199.58	12.235
2	4	9	11	1551.28	0	420.1	-23.84	-76.716	12.235
2	4	11	13	1736.53	0	-299.99	-0.8	-39.035	12.235
2	4	13	15	1701.88	0	-112.75	-1.63	-20.6	12.235
2	5	9	12	2683.83	0	4.27	-26.95	-437.198	15.922
2	5	12	15	2558.5	0	-8.08	0.52	-128.241	15.922
2	5	15	18	1684.85	0	-47.69	20.59	-36.947	15.922
2	5	18	10	2432.9	0	-16.3	7.22	373.457	15.922
2	5	10	13	2587.12	0	-10.32	-24.03	-268.192	15.922
