Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In
1	3	5	7	1343.64	0	5.54	46.68	-1252.918	35.154
1	3	7	9	998.55	0	102.03	37.4	-232.782	35.154
1	3	9	11	2122.71	0	-114.72	-57.91	-197.939	35.154
1	3	11	13	1354.46	0	-2.14	-7.57	-63.151	35.154
1	3	13	15	1449.11	0	78.1	-12.49	-38.608	35.154
1	3	15	6	1279.23	0	6.29	65.41	869.083	35.154
1	3	6	8	1109.68	0	5.16	-46.23	-473.029	35.154
1	3	8	10	1659.85	0	0.13	-12.35	-235.851	35.154
1	3	10	12	1414.05	0	1.61	24.2	-91.33	35.154
1	3	12	14	1565.24	0	12.32	-29.42	-54.436	35.154
1	4	8	11	1900.52	0	14.18	6.3	-490.262	25.213
1	4	11	14	1655.75	0	-32.36	-23.1	-131.422	25.213
1	4	14	17	1303.98	0	-11.86	31.96	-45.282	25.213
1	4	17	9	1648.51	0	2.88	-8.28	400.718	25.213
1	4	9	12	1678.06	0	5.83	9.62	-275.467	25.213
1	4	12	15	1714.5	0	16.93	-30.41	-100.517	25.213
1	4	15	18	1170.01	0	-59.29	4.18	-32.28	25.213
1	4	18	10	1583.11	0	-3.98	1.38	272.848	25.213
1	4	10	13	1651.83	0	-1.37	8.85	-184.121	25.213
1	4	13	16	1573.05	0	-0.72	-21.06	-70.136	25.213
1	4	16	19	967.66	0	18.23	41.41	-21.506	25.136
1	5	12	16	2341.16	0	2.78	-37.51	-227.119	22.001
1	5	16	20	1459.28	0	-29.35	-11.78	-52.156	22.001
1	5	20	24	976.85	0	30.02	72.69	-16.698	22.001
1	5	24	13	1775.91	0	-6.33	-36.41	202.179	22.001
1	5	13	17	2085.99	0	-9.21	15.07	-152.168	22.001
1	5	17	21	1333.92	0	-0.12	-17.08	-38.923	22.001
1	5	21	14	1607.49	0	-4	-15.38	122.074	22.001
1	5	14	18	1727.07	0	0.08	6.56	-97.292	22.001
1	5	18	22	1174.36	0	-19.43	15.24	-28.353	22.001
1	5	15	19	1451.57	0	11.56	34.48	-64.404	21.954
1	5	19	23	1327.17	0	-106.1	131.97	-26.766	21.954
2	4	6	8	1332.99	0	4.55	-48.54	-1036.338	29.309
2	4	8	10	1903.18	0	13.85	-13.15	-369.907	29.309
2	4	10	12	1599.95	0	-11.96	24.92	-124.388	29.309
2	4	12	14	1777.94	0	-10.07	-31.47	-69.113	29.309
2	4	14	16	1319.03	0	8.02	-4.98	-29.299	29.309
2	4	16	7	1496.37	0	0.16	52.59	847.586	29.309
2	4	7	9	1412.35	0	-1.72	-23.54	-501.958	29.309
2	4	9	11	1703.46	0	36.97	-1.98	-201.806	29.309
2	4	11	13	1544.99	0	-59.83	1.32	-83.197	29.309
2	4	13	15	1678.75	0	-32.91	-18.97	-48.677	29.309
2	5	9	12	2772.8	0	5.25	12.83	-712.856	25.128
2	5	12	15	2597.48	0	-3.75	-30.12	-205.472	25.128
2	5	15	18	1662.61	0	0.81	7.7	-57.54	25.128
2	5	18	10	2478.61	0	-2.76	-2.55	600.461	25.128
2	5	10	13	2650.11	0	0.15	17.53	-433.564	25.128
2	5	13	16	2315.83	0	-10.79	-28.66	-135.312	25.128
2	5	16	19	1491.69	0	1.93	36.49	-41.016	25.128
2	5	19	11	2262.85	0	-15.12	-10.4	388.682	25.128
2	5	11	14	2544.03	0	-22.48	-20.56	-282.611	25.128
2	5	14	17	1861.44	0	-11.08	36.59	-82.713	25.128
2	5	17	20	1287.85	0	45.89	-50.03	-28.522	25.048
2	6	13	17	2621.79	0	-5.23	10.82	-356.127	30.805
2	6	17	21	1679.55	0	-2.98	-22.35	-84.052	30.805
2	6	21	14	2015.03	0	-1.51	-15.07	272.978	30.805
2	6	14	18	2166.61	0	1.33	11.38	-221.299	30.805
2	6	18	22	1442.68	0	-12.6	13.63	-58.943	30.805
2	6	22	15	1783.09	0	-4.15	-20.55	189.598	30.805
2	6	15	19	1930.73	0	1.89	28.38	-152.292	30.805
2	6	19	23	1375.03	0	-21.8	135.21	-46.482	30.805
2	6	23	16	1624.92	0	-6.86	-171.86	138.356	30.805
2	6	16	20	1772.66	0	-10.03	-10.97	-110.361	30.805
2	6	20	24	1130.01	0	42.29	78.69	-31.472	30.318
3	5	7	9	3067.16	0	5.25	-33.71	-1875.969	23.058
3	5	9	11	3314.06	0	11.58	-3.95	-506.745	23.058
3	5	11	13	2862.09	0	-19.27	8.56	-175.054	23.058
3	5	13	15	2871.12	0	-19.02	-25.83	-87.803	23.058
3	5	15	17	1966.73	0	-22.28	32.59	-34.369	23.058
3	5	17	8	3563.62	0	3.88	-9.09	1588.007	23.058
3	5	8	10	3955.1	0	7.88	-15.98	-1105.854	23.058
3	5	10	12	3021.62	0	-3.9	23.3	-281.617	23.058
3	5	12	14	3184.08	0	-4.95	-33.54	-134.89	23.058
3	5	14	16	2261.99	0	4.58	-4.13	-51.599	23.058
3	6	10	13	3522.12	0	3.21	24.71	-962.025	26.696
3	6	13	16	3078.4	0	-5.53	-37.54	-258.717	26.696
3	6	16	19	1970.76	0	2.15	33.25	-72.462	26.696
3	6	19	11	3046.11	0	0.28	-5.99	784.008	26.696
3	6	11	14	3391.44	0	-0.36	-22.05	-589.484	26.696
3	6	14	17	2466.02	0	-2.76	37.89	-153.083	26.696
3	6	17	20	1935.47	0	1.81	-54.65	-56.54	26.696
3	6	20	12	2984.65	0	-0.82	51.73	544.665	26.696
3	6	12	15	3459.33	0	-0.21	-28.95	-408.279	26.696
3	6	15	18	2208.44	0	-0.94	8.68	-104.258	26.696
3	6	18	21	1679.22	0	-2.47	3.49	-39.147	26.366
3	7	14	18	2391.85	0	6.1	17.07	-233.018	22.094
3	7	18	22	1711.82	0	-31.52	8.31	-61.441	22.094
3	7	22	15	2013.64	0	-1.66	-19.53	195.647	22.094
3	7	15	19	2173.32	0	4.5	24.74	-159.21	22.094
3	7	19	23	1542.36	0	-25.42	133.04	-45.195	22.094
3	7	23	16	1834.82	0	-6.6	-164.92	139.927	22.094
3	7	16	20	1995.33	0	-11.48	-13.2	-112.88	22.094
3	7	20	24	1372.29	0	20.72	75.83	-33.271	22.094
3	7	24	17	1730.52	0	2.56	-19.65	105.678	22.094
3	7	17	21	1873.6	0	1.61	-23.12	-83.659	22.094
4	6	8	10	4886.8	0	4.52	-14.18	-2521.443	19.452
4	6	10	12	3872.5	0	4.11	16.19	-499.523	19.452
4	6	12	14	4124.33	0	1.15	-31.71	-212.803	19.452
4	6	14	16	2928.97	0	1.26	-3.44	-75.563	19.452
4	6	16	18	2245.88	0	4.07	18.22	-33.109	19.452
4	6	18	9	3910.72	0	4.11	10.75	1470.121	19.452
