Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In
1	3	5	7	4808.67	0	3.43	141.41	-1270.959	9.964
1	3	7	9	2417.87	0	3.56	11.41	-159.764	9.964
1	3	9	11	3215.14	0	24.32	100.27	-84.978	9.964
1	3	11	13	4561.7	0	2.58	-117.47	-60.284	9.964
1	3	13	15	4896.35	0	125.18	82.06	-36.975	9.964
1	3	15	6	4025.73	0	10.99	-63.89	775.215	9.964
1	3	6	8	4364.68	0	4.08	38.07	-527.364	9.964
1	3	8	10	2562.27	0	9.75	60.98	-103.196	9.964
1	3	10	12	3782.7	0	4.15	-262.11	-69.249	9.964
1	3	12	14	5513.5	0	10.21	245.82	-54.35	9.964
1	4	8	11	3987.46	0	16.58	62.8	-292.21	7.162
1	4	11	14	5935.19	0	-9.83	-16.45	-133.829	7.162
1	4	14	17	11694.6	0	1.58	-67.39	-115.366	7.162
1	4	17	9	6047.43	0	2.15	-15.16	417.602	7.162
1	4	9	12	4443.43	0	-0.25	-162.65	-207.216	7.162
1	4	12	15	7966.07	0	43.98	227.26	-132.675	7.162
1	4	15	18	12936.75	0	-44.54	-35.2	-101.394	7.162
1	4	18	10	7220.96	0	-1.2	69.55	353.548	7.162
1	4	10	13	5873.4	0	-5.73	-112.95	-185.982	7.162
1	4	13	16	9421.1	0	37.06	-58.93	-119.328	7.162
1	4	16	19	9821.46	0	-52.15	159.19	-61.827	7.12
1	5	12	16	9084.47	0	9.42	84.22	-386.368	9.645
1	5	16	20	10013.18	0	-5.11	178.33	-156.898	9.645
1	5	20	24	10070.69	0	-0.66	-128.31	-75.469	9.645
1	5	24	13	9767.78	0	3.79	19.84	487.518	9.645
1	5	13	17	9633.49	0	4.33	20.88	-308.089	9.645
1	5	17	21	9685.82	0	4.06	91.72	-123.905	9.645
1	5	21	14	11235.67	0	4.46	-8.11	374.07	9.645
1	5	14	18	12181.39	0	5.08	-71.67	-300.847	9.645
1	5	18	22	9167.08	0	-3	-30.53	-97.029	9.645
1	5	15	19	12778.02	0	-17.77	15.15	-248.224	9.612
1	5	19	23	9171.66	0	12.32	-124.83	-80.985	9.612
2	4	6	8	12271.24	0	9.2	-7.62	-1858.071	5.708
2	4	8	10	3669.38	0	16.42	53.27	-138.901	5.708
2	4	10	12	4049.78	0	-0.17	-254.45	-61.321	5.708
2	4	12	14	6713.17	0	-5.08	265.7	-50.824	5.708
2	4	14	16	12055.59	0	44.89	-185.11	-52.155	5.708
2	4	16	7	4242.97	0	8.35	71.94	468.076	5.708
2	4	7	9	3403.45	0	0.15	11.34	-235.584	5.708
2	4	9	11	4693.65	0	20.61	96.43	-108.297	5.708
2	4	11	13	5393.17	0	-3.12	-101.61	-56.562	5.708
2	4	13	15	6544.58	0	42.41	67.01	-36.959	5.708
2	5	9	12	4541.71	0	16.06	-161.54	-333.991	7.188
2	5	12	15	7025.2	0	7.99	225.02	-158.961	7.188
2	5	15	18	13583.59	0	-3.6	-49	-134.47	7.188
2	5	18	10	6001.94	0	8.59	79.63	415.911	7.188
2	5	10	13	4231.48	0	16.32	-92.97	-198.022	7.188
2	5	13	16	9282.78	0	1.94	-81	-155.146	7.188
2	5	16	19	10240.48	0	10.49	157.71	-80.542	7.188
2	5	19	11	7278.03	0	9.07	21.75	357.588	7.188
2	5	11	14	4953.44	0	19.77	15.75	-157.401	7.188
2	5	14	17	11996.23	0	-1.52	-106.84	-152.477	7.188
2	5	17	20	10492.73	0	6.42	88.32	-66.409	7.158
2	6	13	17	8272.46	0	-1.38	-2.95	-294.243	8.066
2	6	17	21	8727.69	0	22	92.79	-114.371	8.066
2	6	21	14	9994.6	0	4.19	8.08	354.548	8.066
2	6	14	18	10686.59	0	-0.01	-92.88	-285.826	8.066
2	6	18	22	8539.89	0	-17.52	-23.51	-91.364	8.066
2	6	22	15	10817.84	0	-3.46	78.65	301.207	8.066
2	6	15	19	11458.51	0	6.97	11.29	-236.672	8.066
2	6	19	23	8585.58	0	-8.99	-119.99	-76	8.066
2	6	23	16	8968.34	0	8.13	-36.06	199.958	8.066
2	6	16	20	9310.82	0	24.99	173.28	-151.789	8.066
2	6	20	24	9161.42	0	-91.7	-121.05	-67.411	8.01
3	5	7	9	4001.6	0	5.52	17.44	-1156.526	10.896
3	5	9	11	5499.5	0	11.19	93.48	-397.361	10.896
3	5	11	13	5930.05	0	9.03	-85.69	-171.388	10.896
3	5	13	15	7988.27	0	10.34	53.15	-115.437	10.896
3	5	15	17	17161.7	0	3.56	-65.99	-141.714	10.896
3	5	17	8	5008.39	0	6.78	41.1	1054.611	10.896
3	5	8	10	3899.37	0	5.55	52.3	-515.191	10.896
3	5	10	12	3993.4	0	10.07	-251.24	-175.871	10.896
3	5	12	14	7736.88	0	7.43	259.56	-154.88	10.896
3	5	14	16	15429.31	0	6.56	-179.35	-166.315	10.896
3	6	10	13	3564.68	0	13.16	-75.17	-480.239	13.167
3	6	13	16	8962.29	0	2.16	-95.46	-371.512	13.167
3	6	16	19	10307.93	0	13.88	156.07	-186.94	13.167
3	6	19	11	6709.79	0	8.89	23.31	851.802	13.167
3	6	11	14	4393.74	0	12.99	1.49	-376.683	13.167
3	6	14	17	11829.41	0	5.41	-101.32	-362.199	13.167
3	6	17	20	10307.01	0	10.3	93.26	-148.511	13.167
3	6	20	12	8617.31	0	6.73	-249.78	775.644	13.167
3	6	12	15	6541.25	0	2.83	224.22	-380.786	13.167
3	6	15	18	13688.28	0	9.07	-58.85	-318.734	13.167
