Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In
1	3	5	7	4494.02	0	5	50.31	-684.649	5.743
1	3	7	9	2358.09	0	-6.23	-9.17	-89.812	5.743
1	3	9	11	2816.23	0	15.54	19.93	-42.904	5.743
1	3	11	13	4794.35	0	-15.87	-25	-36.52	5.743
1	3	13	15	3382.07	0	768.42	87.44	-14.721	5.743
1	3	15	6	3741.42	0	31.69	-106.77	415.281	5.743
1	3	6	8	4080.6	0	1.57	10.86	-284.19	5.743
1	3	8	10	2409.66	0	66.52	135.78	-55.939	5.743
1	3	10	12	3799.68	0	-68.35	-151.7	-40.095	5.743
1	3	12	14	5314.64	0	16.28	-43.66	-30.197	5.743
1	4	8	11	3908.62	0	15.18	37.2	-203.579	5.091
1	4	11	14	6330.09	0	-5.82	-96.03	-101.446	5.091
1	4	14	17	10919.02	0	20.88	177.63	-76.558	5.091
1	4	17	9	5963.29	0	7.23	-102.85	292.677	5.091
1	4	9	12	4482.14	0	-1.22	-28.98	-148.56	5.091
1	4	12	15	7031.41	0	179.45	111.67	-83.234	5.091
1	4	15	18	13769.6	0	-150.16	38.29	-76.704	5.091
1	4	18	10	7086.39	0	-4.22	-0.06	246.598	5.091
1	4	10	13	5856.16	0	-29.99	-124.67	-131.797	5.091
1	4	13	16	8739.29	0	166.19	26.87	-78.674	5.091
1	4	16	19	10605.28	0	-274.69	63.43	-47.423	5.057
1	5	12	16	8866.39	0	-11.97	52.81	-303.178	7.755
1	5	16	20	10220.57	0	44.58	62.82	-128.757	7.755
1	5	20	24	9616.68	0	-23.63	-12.69	-57.941	7.755
1	5	24	13	9676.04	0	0.44	-78.31	388.277	7.755
1	5	13	17	9480.34	0	-7.98	108.98	-243.761	7.755
1	5	17	21	9583.71	0	12.85	-3.78	-98.568	7.755
1	5	21	14	10852.51	0	-4.35	-173.11	290.491	7.755
1	5	14	18	11662.89	0	-19.36	193.5	-231.581	7.755
1	5	18	22	9577.96	0	-20.41	-39.44	-81.507	7.755
1	5	15	19	13623.98	0	-58.47	3.84	-212.714	7.725
1	5	19	23	8972.37	0	46.47	29.29	-63.676	7.725
2	4	6	8	13084.24	0	5.02	-29.04	-1000.914	2.884
2	4	8	10	3644.26	0	19.37	130.13	-69.694	2.884
2	4	10	12	4043.57	0	146.6	-143.18	-30.932	2.884
2	4	12	14	7022.38	0	8	-46.95	-26.86	2.884
2	4	14	16	11767.4	0	-189.02	93.45	-25.719	2.884
2	4	16	7	4436.01	0	0.66	-8.6	247.237	2.884
2	4	7	9	3740.59	0	5.65	-7.07	-130.81	2.884
2	4	9	11	4575.16	0	55.04	15.76	-53.332	2.884
2	4	11	13	5372.66	0	34.77	-23.68	-28.467	2.884
2	4	13	15	6135.63	0	-122.51	84.46	-17.505	2.884
2	5	9	12	4453.65	0	44.5	-28.06	-161.97	3.555
2	5	12	15	6799.29	0	-122.53	104.74	-76.085	3.555
2	5	15	18	14590.61	0	-41.52	38.32	-71.431	3.555
2	5	18	10	5992.5	0	-8.73	0.49	205.361	3.555
2	5	10	13	4088.85	0	108.27	-121.61	-94.629	3.555
2	5	13	16	9667.87	0	-180.94	24.45	-79.909	3.555
2	5	16	19	9742.33	0	360.39	60.38	-37.894	3.555
2	5	19	11	7004.55	0	9.39	-60.98	170.197	3.555
2	5	11	14	4545.22	0	43.9	-91.85	-71.426	3.555
2	5	14	17	12192.47	0	-91.81	175.65	-76.64	3.555
2	5	17	20	11324.01	0	96.4	-14.69	-35.596	3.555
2	6	13	17	8624.71	0	-107.16	107.27	-141.953	3.733
2	6	17	21	8067.22	0	228.76	-6.13	-48.918	3.733
2	6	21	14	9929.82	0	-30	-168.93	162.996	3.733
2	6	14	18	10772.58	0	-108.88	189.31	-133.324	3.733
2	6	18	22	9117.81	0	-51.65	-39.12	-45.138	3.733
2	6	22	15	11567.92	0	-33	2.44	149.041	3.733
2	6	15	19	11975.36	0	91.28	0.89	-114.455	3.733
2	6	19	23	9927.76	0	-54.25	28.46	-40.665	3.733
2	6	23	16	9274.31	0	163.6	-88.61	95.683	3.733
2	6	16	20	9179.63	0	304.42	63.86	-69.248	3.733
2	6	20	24	9701.17	0	-299.99	-6.67	-33.018	3.705
3	5	7	9	4604.1	0	2.95	-0.92	-879.694	7.203
3	5	9	11	5715.01	0	32.05	12.64	-272.988	7.203
3	5	11	13	5285.48	0	21.04	-21.88	-100.988	7.203
3	5	13	15	7450.46	0	-87.81	82.56	-71.177	7.203
3	5	15	17	18032.04	0	36.69	23.14	-98.438	7.203
3	5	17	8	5033.7	0	1.12	-117.69	700.723	7.203
3	5	8	10	3989.82	0	-13.37	133.73	-348.492	7.203
3	5	10	12	3904.66	0	69.97	-138.42	-113.684	7.203
3	5	12	14	7959.32	0	6.9	-47.05	-105.335	7.203
3	5	14	16	15092.93	0	-85.41	88.27	-107.553	7.203
3	6	10	13	3473.03	0	44.26	-119.36	-287.313	8.086
3	6	13	16	9119.16	0	-61.32	22.47	-232.123	8.086
3	6	16	19	10161.43	0	139.33	61.72	-113.161	8.086
3	6	19	11	6411.29	0	9.16	-61.4	499.787	8.086
